#,Project,Tracker,Parent task,Parent task subject,Status,Priority,Subject,Author,Assignee,Updated,Category,Target version,Start date,Due date,Estimated time,Total estimated time,Spent time,Total spent time,% Done,Created,Closed,Last updated by,Related issues,Files,Tags,Bug Detected Phase,Bug Injected Phase,Log Type
1122,穿山甲,Story,513,Web 后台管理从 Thymeleaf + Bootstrap 迁 React + Ant Design 4,TODO,Normal,场次架构管理,毕艳芳,"",2020-07-17 13:53,"",V0.8,"","","","",0.00,0.00,0,2020-07-17 13:15,"",毕艳芳,"",场次架构导入模版.xlsx,咯叽运营,"","",""
1120,穿山甲,Bug,513,Web 后台管理从 Thymeleaf + Bootstrap 迁 React + Ant Design 4,Rejected,Normal,穿山甲点击身份认证500错误,毕艳芳,"",2020-07-16 11:36,"",V0.8,"","","","",0.00,0.00,0,2020-07-16 11:13,2020-07-16 11:36,徐苗,"",企业微信截图_0e7daf75-c9ce-4f15-88f9-7beb9fe8d60d.png,穿山甲,UAT Bug,开发,""
1103,穿山甲,Story,717,主数据管理,Pending,Normal,主数据管理-医院管理,毕艳芳,"",2020-07-10 08:56,"",V0.8,"","","","",0.00,0.00,0,2020-07-09 16:21,"",毕艳芳,"","","","","",""
1068,穿山甲,Epic,"","",TODO,Normal,配合外企审计,谷常生,"",2020-07-06 16:54,"","","","","",0.00,0.00,0.00,0,2020-07-06 16:54,"","","","","","","",""
1055,穿山甲,Story,513,Web 后台管理从 Thymeleaf + Bootstrap 迁 React + Ant Design 4,Pending,Normal,咯叽运营下的脑防委活动管理、讲堂的活动管理、早安血糖的活动管理的页面合并为活动管理一个页面,毕艳芳,"",2020-07-03 10:33,"",V0.8,"","","","",0.00,0.00,0,2020-07-02 19:23,"",毕艳芳,"","",咯叽运营,"","",""
1041,穿山甲,Story,924,自动生成海报,TODO,Normal,清理生成后保存在本地的照片,谷常生,"",2020-06-30 17:41,"","","","","","",0.00,0.00,0,2020-06-30 17:41,"","","","","","","",""
1004,穿山甲,Story,832,穿山甲小程序的交互、视觉和安全,Pending,Normal,页面底部图标变更新的样式,徐苗,"",2020-07-06 16:46,"",V0.8,"","","","",0.00,0.00,0,2020-06-23 09:31,"",谷常生,"",clipboard-202006230930-93ugb.png,"","","",""
974,穿山甲,Debt,924,自动生成海报,TODO,Normal,医生照片的人脸识别,谷常生,"",2020-06-17 18:06,"","","","","","",0.00,0.00,0,2020-06-17 18:06,"","","","","","","",""
956,穿山甲,Log,"","",Rejected,Normal,Servlet.service() for servlet [dispatcherServlet] in context with path [] threw exception [Request processing failed; ,徐苗,"",2020-06-19 13:35,"",V0.8,2020-06-12,2020-06-12,"","",0.50,0.50,0,2020-06-12 14:12,2020-06-12 16:36,徐苗,"","","","","",Java Log
849,穿山甲,Bug,513,Web 后台管理从 Thymeleaf + Bootstrap 迁 React + Ant Design 4,Rejected,Normal,搜索后的翻页没有用，都是第一页的数据,徐苗,"",2020-06-02 13:47,"",V0.8,"","","","",0.00,0.00,0,2020-05-29 16:45,2020-06-02 13:47,徐苗,"","","",IT Bug,开发,""
684,穿山甲,Epic,"","",Done,Normal,后台的公共管理页面,谷常生,"",2020-04-30 16:54,"",V0.5,2020-01-06,2020-01-21,"",32.00,0.00,89.50,100,2020-04-29 15:33,2020-04-30 11:25,徐苗,"","",noodle-thymeleaf,"","",""
683,穿山甲,Epic,"","",Done,Normal,E 讲堂后台,谷常生,"",2020-04-30 16:55,"",V0.5,2020-01-09,2020-01-21,"",10.50,0.00,0.00,100,2020-04-29 15:33,2020-04-30 11:25,徐苗,"","",血压 e 讲堂,"","",""
682,穿山甲,Epic,"","",Done,Normal,脑防委后台,谷常生,"",2020-04-30 16:51,"",V0.5,2020-01-07,2020-01-21,"",13.00,0.00,0.00,100,2020-04-29 15:32,2020-04-30 11:25,徐苗,"","",脑防委,"","",""
681,穿山甲,Epic,"","",Done,Normal,邮件发送报销材料,谷常生,"",2020-04-30 12:00,"",V0.6,2020-02-10,2020-02-18,"",18.50,0.00,9.00,100,2020-04-29 14:09,2020-04-30 12:00,谷常生,Has duplicate #677,"","","","",""
680,穿山甲,Epic,"","",Done,Normal,E 讲堂二期新需求,谷常生,"",2020-05-22 01:35,"",V0.6,2020-02-04,2020-02-11,"",205.50,0.00,23.00,100,2020-04-29 14:07,2020-05-22 01:35,谷常生,"","",血压 e 讲堂,"","",""
679,穿山甲,Epic,"","",Done,Normal,早安血糖 e 讲堂,谷常生,"",2020-04-30 12:00,"",V0.6,2020-02-06,2020-02-12,"",85.00,0.00,22.50,100,2020-04-29 14:07,2020-04-30 12:00,谷常生,"","",早安血糖 e 讲堂,"","",""
678,穿山甲,Epic,"","",Done,Normal,活动的短信通知,谷常生,"",2020-04-30 12:00,"",V0.6,2020-02-12,2020-02-18,"",19.00,0.00,13.00,100,2020-04-29 14:07,2020-04-30 12:00,谷常生,"","","","","",""
677,穿山甲,Epic,"","",Rejected,Normal,邮件发送报销材料,谷常生,"",2020-05-14 14:24,"","","","","","",0.00,0.00,0,2020-04-29 14:07,2020-05-14 14:24,谷常生,Is duplicate of #681,"","","","",""
676,穿山甲,Epic,"","",Done,Normal,生成并导出 Newsletter,谷常生,"",2020-04-30 12:00,"",V0.6,2020-02-12,2020-02-28,"",40.00,0.00,3.00,100,2020-04-29 14:06,2020-04-30 12:00,谷常生,"","","医脉通, 血压 e 讲堂","","",""
675,穿山甲,Epic,"","",Done,Normal,MCC 幻灯库,谷常生,"",2020-04-30 12:00,"",V0.6,2020-02-19,2020-02-28,"",59.50,0.00,14.50,100,2020-04-29 14:06,2020-04-30 12:00,谷常生,"","",血压 e 讲堂,"","",""
539,穿山甲,Debt,"","",TODO,Normal,代码中的 magic number 和项目名等,谷常生,"",2020-04-27 09:05,"","","","","","",0.00,0.00,0,2020-03-31 14:14,"",谷常生,Related to #413,"","","","",""
512,穿山甲,Epic,"","",TODO,Normal,活动的飞检（线下、线上）,谷常生,"",2020-06-17 18:21,"","","","","","",0.00,0.00,0,2020-03-24 15:17,"",谷常生,Related to #457,"","","","",""
365,穿山甲,Debt,"","",TODO,Normal,定制 MySQL 8 docker image，模拟 gtid 的问题,谷常生,"",2020-03-03 14:54,"","","","","","",0.00,0.00,0,2020-03-03 14:54,"",谷常生,Related to #361,"","","","",""
349,穿山甲,Epic,"","",TODO,Normal,查找疑似代表输入错误的付款数据,谷常生,"",2020-04-21 09:59,"","","","","","",0.00,0.00,0,2020-02-27 18:44,"",谷常生,"Related to #661, Related to #510","",付款,"","",""
299,穿山甲,Debt,"","",Rejected,Low,脑防委名医活动的名医医院错误,毕艳芳,"",2020-05-27 17:19,"",V0.7,"","","","",0.00,0.00,0,2020-02-21 10:15,2020-05-27 17:19,徐苗,"",名医下社区-名医库_20200221094025.xls,脑防委,"","",""
245,穿山甲,Bug,680,E 讲堂二期新需求,Done,Low,豆子上传效果图存在无法上传的情况,毕艳芳,"",2020-04-29 18:16,"",V0.6,2020-02-17,2020-02-17,"","",0.00,0.00,100,2020-02-17 14:05,2020-02-20 12:09,徐苗,"",story245.png,咯叽服务,PRD Bug,架构,""
242,穿山甲,Epic,"","",TODO,Normal,C# 批处理程序改为 Windows Service,谷常生,"",2020-06-17 18:21,"","","","","","",0.00,0.00,0,2020-02-17 13:09,"",徐苗,"Related to #238, Related to #364","",windows-desktop,"","",""
241,穿山甲,Story,"","",TODO,Normal,C# 的批处理程序，增加「心跳」监控,谷常生,"",2020-03-03 14:03,"","","","","","",0.00,0.00,0,2020-02-17 13:07,"",谷常生,Related to #238,"",windows-desktop,"","",""
233,穿山甲,Debt,"","",TODO,Low,七牛key前缀枚举化,许清斌,"",2020-02-14 15:06,"","","","","","",0.00,0.00,0,2020-02-14 15:06,"",谷常生,Related to #518,"","","","",""
223,穿山甲,Debt,"","",TODO,Low,穿山甲后台的权限划分需要加入一级菜单,毕艳芳,"",2020-02-26 10:35,"","","","","","",0.00,0.00,0,2020-02-13 11:46,"","","","",系统设置,"","",""
221,穿山甲,Debt,"","",Rejected,Normal,E讲堂callback重构,许清斌,"",2020-05-26 10:07,"",V0.7,"","","","",0.00,0.00,0,2020-02-13 00:03,2020-05-26 10:07,许清斌,"","","","","",""
91,穿山甲,Story,1068,配合外企审计,TODO,Low,批量下载审计要求的活动文件,谷常生,"",2020-07-06 16:54,"","","","","","",0.00,0.00,0,2020-01-17 18:40,"",谷常生,"","",审计,"","",""
90,穿山甲,Story,1068,配合外企审计,TODO,Low,批量打印付款凭证图片,谷常生,"",2020-07-06 16:54,"","","","","","",0.00,0.00,0,2020-01-17 18:38,"",谷常生,"","",审计,"","",""
89,穿山甲,Story,1068,配合外企审计,TODO,Low,批量打印 PDF 文件,谷常生,"",2020-07-06 16:54,"","","","","","",0.00,0.00,0,2020-01-17 18:36,"",谷常生,"","",审计,"","",""
1118,穿山甲,Bug,832,穿山甲小程序的交互、视觉和安全,To UAT,Normal,AMM登录穿山甲首页报错,毕艳芳,余鹏飞,2020-07-16 11:37,"",V0.8,2020-07-16,2020-07-16,0.50,0.50,0.00,0.00,80,2020-07-15 19:12,"",徐苗,"",1594811478683.jpg,穿山甲,UAT Bug,开发,""
1107,穿山甲,Log,"","",TODO,Normal,Servlet.service() for servlet [dispatcherServlet] in context with path [] threw exception [Request processing failed; ,徐苗,余鹏飞,2020-07-16 14:58,"",V0.8,"","","","",0.50,0.50,0,2020-07-10 14:32,"",许清斌,"","","","",开发,Java Log
1106,穿山甲,Log,"","",TODO,Normal,Servlet.service() for servlet [dispatcherServlet] in context with path [] threw exception [Request processing failed; nested exception is java.lang.NullPointerException] with root cause,徐苗,余鹏飞,2020-07-16 14:43,"",V0.8,"","","","",0.00,0.00,0,2020-07-10 14:29,"",许清斌,"","","","",,Java Log
1102,穿山甲,Story,717,主数据管理,UT,Normal,主数据管理-居委会管理,毕艳芳,余鹏飞,2020-07-16 18:29,"",V0.8,2020-07-14,2020-07-15,8.00,8.00,2.00,2.00,50,2020-07-09 16:15,"",余鹏飞,"","","","","",""
1097,穿山甲,Story,717,主数据管理,Develop,Normal,日历管理,毕艳芳,余鹏飞,2020-07-16 18:29,"",V0.8,2020-07-16,2020-07-17,16.00,16.00,1.50,1.50,30,2020-07-09 15:46,"",余鹏飞,"","","","","",""
1085,穿山甲,Bug,513,Web 后台管理从 Thymeleaf + Bootstrap 迁 React + Ant Design 4,Done,Normal,早安血糖数据重复 讲者姓名+MCC号+日期,毕艳芳,余鹏飞,2020-07-09 09:20,"",V0.8,2020-07-08,2020-07-08,0.50,0.50,0.00,0.00,100,2020-07-08 16:16,2020-07-09 09:20,徐苗,"",企业微信截图_8222225c-3cfe-402d-aa0e-9aaca8a0548b.png,"",UAT Bug,开发,""
1083,穿山甲,Bug,513,Web 后台管理从 Thymeleaf + Bootstrap 迁 React + Ant Design 4,Done,Normal,搜索条件清空，时间空间的内容也需要清空,毕艳芳,余鹏飞,2020-07-09 09:22,"",V0.8,2020-07-08,2020-07-08,0.50,0.50,0.00,0.00,100,2020-07-08 13:10,2020-07-09 09:22,徐苗,"","","",UAT Bug,开发,""
1082,穿山甲,Bug,513,Web 后台管理从 Thymeleaf + Bootstrap 迁 React + Ant Design 4,Done,Normal,导入失败错误显示的样式保持一致,毕艳芳,余鹏飞,2020-07-09 09:22,"",V0.8,2020-07-08,2020-07-08,1.00,1.00,0.00,0.00,100,2020-07-08 13:09,2020-07-09 09:22,徐苗,"","","",UAT Bug,开发,""
1081,穿山甲,Bug,513,Web 后台管理从 Thymeleaf + Bootstrap 迁 React + Ant Design 4,Done,Normal,早安血糖 今日活动场次单独一行去掉,毕艳芳,余鹏飞,2020-07-09 09:27,"",V0.8,2020-07-08,2020-07-08,0.50,0.50,0.00,0.00,100,2020-07-08 11:36,2020-07-09 09:27,徐苗,"",企业微信截图_c1117930-f5dc-4491-aedb-21e0e6df2877.png,"",UAT Bug,开发,""
1078,穿山甲,Bug,513,Web 后台管理从 Thymeleaf + Bootstrap 迁 React + Ant Design 4,Done,Normal,重复数据显示导入失败，数据不入库，提示重复数据,毕艳芳,余鹏飞,2020-07-09 09:44,"",V0.8,2020-07-07,2020-07-07,2.00,2.00,0.00,0.00,100,2020-07-07 18:46,2020-07-09 09:44,徐苗,"",企业微信截图_7f5217c3-2de7-4bbe-98fd-d41e2cd85be9.png,血压 e 讲堂,UAT Bug,开发,""
1073,穿山甲,Story,513,Web 后台管理从 Thymeleaf + Bootstrap 迁 React + Ant Design 4,To IT,Normal,待核查的活动不可能有海报下载,毕艳芳,余鹏飞,2020-07-07 17:40,"",V0.8,2020-07-07,2020-07-07,1.00,1.00,0.00,0.00,70,2020-07-07 12:16,"",余鹏飞,Related to #1012,1594095278314.jpg,血压 e 讲堂,"","",""
1072,穿山甲,Bug,513,Web 后台管理从 Thymeleaf + Bootstrap 迁 React + Ant Design 4,Done,Normal,tracking表管理页面样式修改,毕艳芳,余鹏飞,2020-07-09 09:53,"",V0.8,2020-07-07,2020-07-07,1.00,1.00,0.00,0.00,100,2020-07-07 12:13,2020-07-09 09:53,徐苗,Related to #1012,"",血压 e 讲堂,UAT Bug,开发,""
1071,穿山甲,Story,924,自动生成海报,Done,Normal,脑防委医生简介格式,毕艳芳,余鹏飞,2020-07-09 10:06,"",V0.8,2020-07-07,2020-07-07,1.00,1.00,0.00,0.00,100,2020-07-07 11:16,2020-07-09 10:06,徐苗,"","",脑防委,"","",""
1070,穿山甲,Bug,924,自动生成海报,Done,High,脑防委自动生成的海报无法生成订单发货,毕艳芳,余鹏飞,2020-07-07 17:19,"",V0.8,2020-07-07,2020-07-07,0.50,0.50,0.00,0.00,100,2020-07-07 09:07,2020-07-07 17:19,徐苗,"","",脑防委,PRD Bug,需求,""
1069,穿山甲,Bug,513,Web 后台管理从 Thymeleaf + Bootstrap 迁 React + Ant Design 4,Done,Normal,课件和面单都上传了，状态提示错误,徐苗,余鹏飞,2020-07-08 08:55,"",V0.8,2020-07-06,2020-07-06,"","",0.00,0.00,100,2020-07-06 19:19,2020-07-08 08:55,徐苗,Related to #1013,企业微信截图_43e3f8f8-5dc6-41e4-bdc5-de65c24fac89.png,"",IT Bug,开发,""
1067,穿山甲,Bug,513,Web 后台管理从 Thymeleaf + Bootstrap 迁 React + Ant Design 4,Done,Normal,直播中的页面没显示状态,徐苗,余鹏飞,2020-07-07 10:08,"",V0.8,2020-07-06,2020-07-06,"","",0.00,0.00,100,2020-07-06 15:46,2020-07-07 10:08,徐苗,"",clipboard-202007061546-2rzeq.png,"",IT Bug,需求,""
1056,穿山甲,Story,717,主数据管理,UT,Normal,国家标准地址信息爬取到本地,毕艳芳,余鹏飞,2020-07-16 14:25,"",V0.8,2020-07-06,2020-07-10,"","",0.00,0.00,50,2020-07-03 08:55,"",余鹏飞,"","IMG_3131.JPG
IMG_8762.JPG","","","",""
1040,穿山甲,Bug,924,自动生成海报,Done,Normal,页面中的按钮点一次没反应，点第二次才行,徐苗,余鹏飞,2020-06-30 15:47,"",V0.8,2020-06-30,2020-06-30,"","",0.00,0.00,100,2020-06-30 15:13,2020-06-30 15:47,徐苗,Related to #973,企业微信截图_ce81d433-070e-47ee-bc9f-0b382aecb6cb.png,"",IT Bug,开发,""
1020,穿山甲,Bug,960,穿山甲小程序「首页」 UI,Done,Normal,体验账号没有剩余场次显示,毕艳芳,余鹏飞,2020-06-28 16:52,"",V0.8,2020-06-28,2020-06-28,1.00,1.00,0.00,0.00,100,2020-06-28 09:38,2020-06-28 16:52,徐苗,"",WechatIMG1.jpeg,"",UAT Bug,开发,""
1015,穿山甲,Bug,960,穿山甲小程序「首页」 UI,Done,Normal,变更时间一致，应该是拿对应的时间,徐苗,余鹏飞,2020-06-24 15:46,"",V0.8,2020-06-24,2020-06-24,0.50,0.50,0.00,0.00,100,2020-06-24 11:58,2020-06-24 15:46,徐苗,"",企业微信截图_7fd425fb-e1a9-45bc-8b6d-a43622704f03.png,"",IT Bug,开发,""
1014,穿山甲,Bug,960,穿山甲小程序「首页」 UI,Done,Normal,上下组件的宽度不一致,徐苗,余鹏飞,2020-06-24 15:45,"",V0.8,2020-06-24,2020-06-24,0.50,0.50,0.00,0.00,100,2020-06-24 10:34,2020-06-24 15:45,徐苗,Related to #976,911592965649_.pic.jpg,"",IT Bug,开发,""
1013,穿山甲,Story,513,Web 后台管理从 Thymeleaf + Bootstrap 迁 React + Ant Design 4,Done,Normal,早安血糖-tracking表管理页面优化,毕艳芳,余鹏飞,2020-07-09 10:00,"",V0.8,2020-07-02,2020-07-02,4.00,4.00,0.00,0.00,100,2020-06-23 19:03,2020-07-09 10:00,徐苗,Related to #1069,提示.xlsx,血压 e 讲堂,"","",""
1012,穿山甲,Story,513,Web 后台管理从 Thymeleaf + Bootstrap 迁 React + Ant Design 4,Done,Normal,诺华E讲堂-tracking表管理页面优化,毕艳芳,余鹏飞,2020-07-09 10:00,"",V0.8,2020-06-30,2020-07-01,8.00,8.00,0.00,0.00,100,2020-06-23 19:03,2020-07-09 10:00,徐苗,"Related to #1072, Related to #1073, Related to #1080",提示.xlsx,"","","",""
999,穿山甲,Bug,960,穿山甲小程序「首页」 UI,Done,Normal,项目还未分配任何场次前，需要提示,徐苗,余鹏飞,2020-06-24 15:47,"",V0.8,2020-06-22,2020-06-22,1.00,1.00,0.00,0.00,100,2020-06-22 16:19,2020-06-24 15:47,徐苗,Related to #976,"企业微信截图_b78f6b0a-5645-4f6f-83c9-b6f00c5c3d0f.png
企业微信截图_7c8694ab-bab8-43fe-8c87-a6b324dee3a9(1).png","",IT Bug,需求,""
996,穿山甲,Bug,513,Web 后台管理从 Thymeleaf + Bootstrap 迁 React + Ant Design 4,Done,High,Tracking表管理-上传附件，如果PPT上传配置如果打开，PPT可以更换，但不是必选项,毕艳芳,余鹏飞,2020-07-09 10:00,"",V0.8,2020-07-03,2020-07-03,1.00,1.00,0.00,0.00,100,2020-06-22 11:01,2020-07-09 10:00,徐苗,"",企业微信截图_26ed2196-d728-48c7-91ba-5538e5d2f87d.png,"",PRD Bug,需求,""
983,穿山甲,Bug,959,穿山甲小程序「我的」 UI,Done,Normal,如图 数据 重复,徐苗,余鹏飞,2020-06-19 08:45,"",V0.8,2020-06-18,2020-06-18,1.00,1.00,0.00,0.00,100,2020-06-18 18:09,2020-06-19 08:45,徐苗,"",clipboard-202006181808-zrh90.png,"",IT Bug,开发,""
977,穿山甲,Bug,959,穿山甲小程序「我的」 UI,Done,Normal,我的页面中的姓名没显示,徐苗,余鹏飞,2020-06-19 11:04,"",V0.8,2020-06-18,2020-06-18,0.50,0.50,0.00,0.00,100,2020-06-18 10:19,2020-06-19 11:04,徐苗,"","企业微信截图_bd94c9b7-aea0-43e4-a4bf-24870e07bbb6.png
企业微信截图_e9b676fb-6eb9-496d-9f8b-9d037c45171a.png","",IT Bug,开发,""
976,穿山甲,Story,960,穿山甲小程序「首页」 UI,Done,Normal,组件-首页-参与项目及剩余场次,毕艳芳,余鹏飞,2020-06-28 18:11,"",V0.8,2020-06-19,2020-06-19,5.00,5.00,0.00,0.00,100,2020-06-18 09:10,2020-06-28 18:11,徐苗,"Related to #999, Related to #1014","","","","",""
975,穿山甲,Bug,743,统一早安血糖和诺华 E 讲堂的医脉通接口,Done,Normal,诺华E讲堂重新上传PPT没有推送给医脉通,毕艳芳,余鹏飞,2020-06-18 15:45,"",V0.8,2020-06-17,2020-06-17,0.50,0.50,0.00,0.00,100,2020-06-17 18:10,2020-06-18 15:45,徐苗,"",1592388519899.jpg,"",UAT Bug,开发,""
973,穿山甲,Story,924,自动生成海报,Done,Normal,生成脑防委项目海报,谷常生,余鹏飞,2020-06-30 19:06,"",V0.8,2020-06-29,2020-06-29,4.00,4.00,0.00,0.00,100,2020-06-17 18:04,2020-06-30 19:06,徐苗,Related to #1040,"","","","",""
969,穿山甲,Bug,513,Web 后台管理从 Thymeleaf + Bootstrap 迁 React + Ant Design 4,Done,High,脑防委-活动管理讲者医院显示的社区医院,毕艳芳,余鹏飞,2020-06-16 17:46,"",V0.8,2020-06-15,2020-06-15,0.50,0.50,0.00,0.00,100,2020-06-15 15:05,2020-06-16 17:46,徐苗,"",1592204515583.jpg,脑防委,PRD Bug,开发,""
958,穿山甲,Bug,513,Web 后台管理从 Thymeleaf + Bootstrap 迁 React + Ant Design 4,Done,Normal,早安血糖-Tracking表管理上传附件对已经存在PPT的活动单独上传PDF无法保存,毕艳芳,余鹏飞,2020-06-12 19:06,"",V0.8,2020-06-12,2020-06-12,"","",0.00,0.00,100,2020-06-12 14:39,2020-06-12 19:06,徐苗,"","1591943837486.jpg
bug_958.sql","",PRD Bug,开发,""
947,穿山甲,Story,960,穿山甲小程序「首页」 UI,Done,Normal,项目执行手册、活动要求文本,毕艳芳,余鹏飞,2020-06-28 18:11,"",V0.8,2020-06-23,2020-06-24,8.00,8.00,1.00,1.00,100,2020-06-11 17:37,2020-06-28 18:11,徐苗,"",story_947.sql,穿山甲,"","",""
945,穿山甲,Story,832,穿山甲小程序的交互、视觉和安全,Pending,Normal,小程序订阅消息通知,毕艳芳,余鹏飞,2020-07-10 10:37,"",V0.8,"",2020-07-17,8.00,8.00,1.50,1.50,0,2020-06-11 17:32,"",毕艳芳,"","小程序消息订阅.xlsx
小程序消息订阅-0622.xlsx",穿山甲,"","",""
940,穿山甲,Story,959,穿山甲小程序「我的」 UI,Done,Normal,我的直属经理,毕艳芳,余鹏飞,2020-06-19 08:45,"",V0.8,2020-06-17,2020-06-18,4.00,4.00,0.00,0.00,100,2020-06-11 17:07,2020-06-19 08:45,徐苗,"","",穿山甲,"","",""
936,穿山甲,Story,959,穿山甲小程序「我的」 UI,Done,Normal,身份认证-确认身份，填写身份信息,毕艳芳,余鹏飞,2020-06-19 08:44,"",V0.8,2020-06-15,2020-06-15,3.00,3.00,0.00,0.00,100,2020-06-11 16:28,2020-06-19 08:44,徐苗,"","",穿山甲,"","",""
935,穿山甲,Story,959,穿山甲小程序「我的」 UI,Done,Normal,身份认证-获取用户微信信息,毕艳芳,余鹏飞,2020-06-19 08:44,"",V0.8,2020-06-15,2020-06-15,4.00,4.00,0.00,0.00,100,2020-06-11 15:02,2020-06-19 08:44,徐苗,"","",穿山甲,"","",""
934,穿山甲,Story,960,穿山甲小程序「首页」 UI,Done,Normal,组件-最近变更记录,毕艳芳,余鹏飞,2020-06-28 18:11,"",V0.8,2020-06-22,2020-06-22,6.00,6.00,0.00,0.00,100,2020-06-11 14:54,2020-06-28 18:11,徐苗,"","",穿山甲,"","",""
932,穿山甲,Story,959,穿山甲小程序「我的」 UI,Done,Normal,组件-参与项目及剩余场次,毕艳芳,余鹏飞,2020-06-19 08:45,"",V0.8,2020-06-16,2020-06-17,10.00,10.00,0.00,0.00,100,2020-06-11 14:30,2020-06-19 08:45,徐苗,"","",穿山甲,"","",""
927,穿山甲,Bug,722,血压 E 讲堂二期需求变更（五月）,Rejected,Normal,导入当天活动，上传附件的时候，已经存PPT，但是提示PPT文件不可以为空,毕艳芳,余鹏飞,2020-06-10 17:45,"",V0.8,2020-06-10,2020-06-10,"","",0.00,0.00,30,2020-06-10 16:07,2020-06-10 17:45,毕艳芳,Related to #914,企业微信截图_e6f847d8-76f8-4eef-bc83-f97008a53438.png,血压 e 讲堂,UAT Bug,开发,""
923,穿山甲,Bug,513,Web 后台管理从 Thymeleaf + Bootstrap 迁 React + Ant Design 4,Done,Normal,脑防委的活动时间需要在9天之后才可以选择，但是代表依然提交了当天的活动,毕艳芳,余鹏飞,2020-06-19 13:19,"",V0.8,2020-06-10,2020-06-10,"","",0.00,0.00,100,2020-06-10 13:59,2020-06-13 11:19,徐苗,"","企业微信截图_c6557772-ae2e-43eb-b39a-9f367ad11d03.png
WechatIMG181.jpeg",脑防委,PRD Bug,架构,""
917,穿山甲,Bug,513,Web 后台管理从 Thymeleaf + Bootstrap 迁 React + Ant Design 4,Done,Normal,脑防委-名医审核中工牌照片需要在本页面打开放大,毕艳芳,余鹏飞,2020-06-11 10:41,"",V0.8,2020-06-10,2020-06-10,0.50,0.50,0.00,0.00,100,2020-06-09 18:08,2020-06-11 10:41,徐苗,"","",脑防委,PRD Bug,开发,""
913,穿山甲,Bug,513,Web 后台管理从 Thymeleaf + Bootstrap 迁 React + Ant Design 4,Done,Normal,咯叽服务物料列表-详情 执行日期显示的是12小时制的，变成24小时制的,毕艳芳,余鹏飞,2020-06-10 11:08,"",V0.8,2020-06-09,2020-06-09,0.50,0.50,0.00,0.00,100,2020-06-09 09:48,2020-06-10 11:08,徐苗,Related to #801,企业微信截图_13967b28-2b8a-4e2a-918d-b89e91a6c80d.png,咯叽服务,PRD Bug,开发,""
